ID;Ubicazione;Quantita
MATE088;TRIESTE;0
MATE089;LABORATORIO;1
MATE089;ZANARDI;0
MATE089;CINI;0
MATE089;MANDELLI;0
MATE089;SALUTE;0
MATE089;PALAZZINA MARFISA;0
MATE089;MAGAZZINO;0
MATE089;VALIER;0
MATE089;TRIESTE;0
MATE090;LABORATORIO;0,75
MATE090;ZANARDI;0
MATE090;CINI;0
MATE090;MANDELLI;0
MATE090;SALUTE;0
MATE090;PALAZZINA MARFISA;0
MATE090;MAGAZZINO;0
MATE090;VALIER;0
MATE090;TRIESTE;0
MATE091;LABORATORIO;0
MATE091;ZANARDI;1
MATE091;CINI;0
MATE091;MANDELLI;0
MATE091;SALUTE;0
MATE091;PALAZZINA MARFISA;0
MATE091;MAGAZZINO;0
MATE091;VALIER;0
MATE091;TRIESTE;0
MATE092;LABORATORIO;0,1
MATE092;ZANARDI;0
MATE092;CINI;0
MATE092;MANDELLI;0
MATE092;SALUTE;0
MATE092;PALAZZINA MARFISA;0
MATE092;MAGAZZINO;0
MATE092;VALIER;0
MATE092;TRIESTE;0
MATE093;LABORATORIO;0
MATE093;ZANARDI;0
MATE093;CINI;0
MATE093;MANDELLI;0
MATE093;SALUTE;0
MATE093;PALAZZINA MARFISA;0,5
MATE093;MAGAZZINO;0
MATE093;VALIER;0
MATE093;TRIESTE;0
MATE094;LABORATORIO;1
MATE094;ZANARDI;0
MATE094;CINI;0
MATE094;MANDELLI;0
MATE094;SALUTE;0
MATE094;PALAZZINA MARFISA;0
MATE094;MAGAZZINO;0
MATE094;VALIER;0
MATE094;TRIESTE;0
MATE095;LABORATORIO;1
MATE095;ZANARDI;0
MATE095;CINI;0
MATE095;MANDELLI;0
MATE095;SALUTE;0
MATE095;PALAZZINA MARFISA;0
MATE095;MAGAZZINO;0
MATE095;VALIER;0
MATE095;TRIESTE;0
MATE096;LABORATORIO;1
MATE096;ZANARDI;0
MATE096;CINI;0
MATE096;MANDELLI;0
MATE096;SALUTE;0
MATE096;PALAZZINA MARFISA;0
MATE096;MAGAZZINO;0
MATE096;VALIER;0
MATE096;TRIESTE;0
MATE097;LABORATORIO;1
MATE097;ZANARDI;0
MATE097;CINI;0
MATE097;MANDELLI;0
MATE097;SALUTE;0
MATE097;PALAZZINA MARFISA;0
MATE097;MAGAZZINO;0
MATE097;VALIER;0
MATE097;TRIESTE;0
MATE098;LABORATORIO;2
MATE098;ZANARDI;0
MATE098;CINI;0
MATE098;MANDELLI;0
MATE098;SALUTE;0
MATE098;PALAZZINA MARFISA;1
MATE098;MAGAZZINO;0
MATE098;VALIER;0
MATE098;TRIESTE;0
MATE099;LABORATORIO;0
MATE099;ZANARDI;0,2
MATE099;CINI;0
MATE099;MANDELLI;0
MATE099;SALUTE;0
MATE099;PALAZZINA MARFISA;0
MATE099;MAGAZZINO;0
MATE099;VALIER;0
MATE099;TRIESTE;0
MATE100;LABORATORIO;0,75
MATE100;ZANARDI;0
MATE100;CINI;0
MATE100;MANDELLI;0
MATE100;SALUTE;0
MATE100;PALAZZINA MARFISA;0
MATE100;MAGAZZINO;0
MATE100;VALIER;0
MATE100;TRIESTE;0
MATE101;LABORATORIO;0,75
MATE101;ZANARDI;0
MATE101;CINI;0
MATE101;MANDELLI;0
MATE101;SALUTE;0
MATE101;PALAZZINA MARFISA;0
MATE101;MAGAZZINO;0
MATE101;VALIER;0
MATE101;TRIESTE;0
MATE102;LABORATORIO;0,75
MATE102;ZANARDI;0,5
MATE102;CINI;0
MATE102;MANDELLI;0
MATE102;SALUTE;0
MATE102;PALAZZINA MARFISA;0
MATE102;MAGAZZINO;0
MATE102;VALIER;0
MATE102;TRIESTE;0
MATE103;LABORATORIO;0,75
MATE103;ZANARDI;0
MATE103;CINI;0
MATE103;MANDELLI;0
MATE103;SALUTE;0
MATE103;PALAZZINA MARFISA;0
MATE103;MAGAZZINO;0
MATE103;VALIER;0
MATE103;TRIESTE;0
MATE104;LABORATORIO;2
MATE104;ZANARDI;0
MATE104;CINI;0
MATE104;MANDELLI;0
MATE104;SALUTE;0
MATE104;PALAZZINA MARFISA;0
MATE104;MAGAZZINO;0
MATE104;VALIER;0
MATE104;TRIESTE;0
MATE105;LABORATORIO;2
MATE105;ZANARDI;0
MATE105;CINI;0
MATE105;MANDELLI;125
MATE105;SALUTE;0
MATE105;PALAZZINA MARFISA;0
MATE105;MAGAZZINO;0
MATE105;VALIER;0
MATE105;TRIESTE;0
MATE106;LABORATORIO;0
MATE106;ZANARDI;0
